Participant,Test,Features,m_CA,StdDev_CA,,,,,,,,,,
1,1,"['MAV', 'WL', 'SSC', 'ZC']",0.827777778,0.039674602,,,,,,,,,,
1,2,"['MAV', 'WL', 'SSC', 'ZC']",0.914814815,0.023715275,,,,,,,,,,
2,1,"['MAV', 'WL', 'SSC', 'ZC']",0.743988391,0.059755639,,,,,,,,,,
2,2,"['MAV', 'WL', 'SSC', 'ZC']",0.794444444,0.016871173,,,,,,,,,,
3,1,"['MAV', 'WL', 'SSC', 'ZC']",0.785185185,0.031860464,,,,,,,,,,
3,2,"['MAV', 'WL', 'SSC', 'ZC']",0.744043671,0.031131944,,,,,,,,,,
4,1,"['MAV', 'WL', 'SSC', 'ZC']",0.883333333,0.006141898,,,,,,,,,,
4,2,"['MAV', 'WL', 'SSC', 'ZC']",0.831481481,0.05006854,,,,,,,,,,
5,1,"['MAV', 'WL', 'SSC', 'ZC']",0.915384615,0.013323468,,,,,,,,,,
5,2,"['MAV', 'WL', 'SSC', 'ZC']",0.909259259,0.027404905,,,,,,,,,,
6,1,"['MAV', 'WL', 'SSC', 'ZC']",0.794444444,0.030709489,,,,,,,,,,
6,2,"['MAV', 'WL', 'SSC', 'ZC']",0.822222222,0.005237828,,,,,,,,,,
7,1,"['MAV', 'WL', 'SSC', 'ZC']",0.77037037,0.027216553,,,,,,,,,,
7,2,"['MAV', 'WL', 'SSC', 'ZC']",0.874074074,0.036664796,,,,,,,,,,
8,1,"['MAV', 'WL', 'SSC', 'ZC']",0.862962963,0.025925926,,,,,,,,,,
8,2,"['MAV', 'WL', 'SSC', 'ZC']",0.711111111,0.028206567,,,,,,,,,,
9,1,"['MAV', 'WL', 'SSC', 'ZC']",0.877598121,0.026274888,,,,,,,,,,
9,2,"['MAV', 'WL', 'SSC', 'ZC']",0.79736042,0.04688159,,,,,,,,,,
10,1,"['MAV', 'WL', 'SSC', 'ZC']",0.888653952,0.010810459,,,,,,,,,,
10,2,"['MAV', 'WL', 'SSC', 'ZC']",0.842025981,0.025256357,,,,,,,,,,
11,1,"['MAV', 'WL', 'SSC', 'ZC']",0.865872067,0.028976352,,,,,,,,,,
11,2,"['MAV', 'WL', 'SSC', 'ZC']",0.782280389,0.039299353,,,,,,,,,,
12,1,"['MAV', 'WL', 'SSC', 'ZC']",0.831191266,0.019674969,,,,,,,,,,
12,2,"['MAV', 'WL', 'SSC', 'ZC']",0.900455079,0.019162644,,,,,,,,,,
13,1,"['MAV', 'WL', 'SSC', 'ZC']",0.85129906,0.02974553,,,,,,,,,,
13,2,"['MAV', 'WL', 'SSC', 'ZC']",0.768159204,0.038621821,,,,,,,,,,
14,1,"['MAV', 'WL', 'SSC', 'ZC']",0.885185185,0.030316121,,,,,,,,,,
14,2,"['MAV', 'WL', 'SSC', 'ZC']",0.696296296,0.046554834,,,,,,,,,,
15,1,"['MAV', 'WL', 'SSC', 'ZC']",0.749543947,0.021090335,,,,,,,,,,
15,2,"['MAV', 'WL', 'SSC', 'ZC']",0.766666667,0.060745257,,,,,,,,,,
16,1,"['MAV', 'WL', 'SSC', 'ZC']",0.862258154,0.023447696,,,,,,,,,,
16,2,"['MAV', 'WL', 'SSC', 'ZC']",0.843283582,0.019026192,,,,,,,,,,
17,1,"['MAV', 'WL', 'SSC', 'ZC']",0.753703704,0.041697519,,,,,,,,,,
17,2,"['MAV', 'WL', 'SSC', 'ZC']",0.684563295,0.024219981,,,,,,,,,,
18,1,"['MAV', 'WL', 'SSC', 'ZC']",0.744444444,0.029860214,,,,,,,,,,
18,2,"['MAV', 'WL', 'SSC', 'ZC']",0.798017772,0.051852843,,,,,,,,,,
19,1,"['MAV', 'WL', 'SSC', 'ZC']",0.905555556,0.02245251,,,,,,,,,,
19,2,"['MAV', 'WL', 'SSC', 'ZC']",0.87037037,0.042390826,,,,,,,,,,
1,1,"['IEMG', 'VAR', 'WL', 'ZC', 'SSC', 'SSC', 'WAMP']",0.85,0.030259509,,,,,,,,,,
1,2,"['IEMG', 'VAR', 'WL', 'ZC', 'SSC', 'SSC', 'WAMP']",0.909259259,0.014224344,,,,,,,,,,
2,1,"['IEMG', 'VAR', 'WL', 'ZC', 'SSC', 'SSC', 'WAMP']",0.762548369,0.056551816,,,,,,,,,,
2,2,"['IEMG', 'VAR', 'WL', 'ZC', 'SSC', 'SSC', 'WAMP']",0.796296296,0.016972503,,,,,,,,,,
3,1,"['IEMG', 'VAR', 'WL', 'ZC', 'SSC', 'SSC', 'WAMP']",0.833333333,0.034146461,,,,,,,,,,
3,2,"['IEMG', 'VAR', 'WL', 'ZC', 'SSC', 'SSC', 'WAMP']",0.747747374,0.035499753,,,,,,,,,,
4,1,"['IEMG', 'VAR', 'WL', 'ZC', 'SSC', 'SSC', 'WAMP']",0.887037037,0.009622504,,,,,,,,,,
4,2,"['IEMG', 'VAR', 'WL', 'ZC', 'SSC', 'SSC', 'WAMP']",0.831481481,0.046665197,,,,,,,,,,
5,1,"['IEMG', 'VAR', 'WL', 'ZC', 'SSC', 'SSC', 'WAMP']",0.913461538,0.017520065,,,,,,,,,,
5,2,"['IEMG', 'VAR', 'WL', 'ZC', 'SSC', 'SSC', 'WAMP']",0.896296296,0.016563466,,,,,,,,,,
6,1,"['IEMG', 'VAR', 'WL', 'ZC', 'SSC', 'SSC', 'WAMP']",0.792592593,0.01385799,,,,,,,,,,
6,2,"['IEMG', 'VAR', 'WL', 'ZC', 'SSC', 'SSC', 'WAMP']",0.792592593,0.01385799,,,,,,,,,,
7,1,"['IEMG', 'VAR', 'WL', 'ZC', 'SSC', 'SSC', 'WAMP']",0.766666667,0.026449735,,,,,,,,,,
7,2,"['IEMG', 'VAR', 'WL', 'ZC', 'SSC', 'SSC', 'WAMP']",0.87962963,0.024216105,,,,,,,,,,
8,1,"['IEMG', 'VAR', 'WL', 'ZC', 'SSC', 'SSC', 'WAMP']",0.868518519,0.021195413,,,,,,,,,,
8,2,"['IEMG', 'VAR', 'WL', 'ZC', 'SSC', 'SSC', 'WAMP']",0.718518519,0.022831163,,,,,,,,,,
9,1,"['IEMG', 'VAR', 'WL', 'ZC', 'SSC', 'SSC', 'WAMP']",0.884991708,0.02362683,,,,,,,,,,
9,2,"['IEMG', 'VAR', 'WL', 'ZC', 'SSC', 'SSC', 'WAMP']",0.802943615,0.046623988,,,,,,,,,,
10,1,"['IEMG', 'VAR', 'WL', 'ZC', 'SSC', 'SSC', 'WAMP']",0.884908789,0.022333054,,,,,,,,,,
10,2,"['IEMG', 'VAR', 'WL', 'ZC', 'SSC', 'SSC', 'WAMP']",0.834604754,0.020958166,,,,,,,,,,
11,1,"['IEMG', 'VAR', 'WL', 'ZC', 'SSC', 'SSC', 'WAMP']",0.864006607,0.036114369,,,,,,,,,,
11,2,"['IEMG', 'VAR', 'WL', 'ZC', 'SSC', 'SSC', 'WAMP']",0.807840182,0.003993404,,,,,,,,,,
12,1,"['IEMG', 'VAR', 'WL', 'ZC', 'SSC', 'SSC', 'WAMP']",0.831149807,0.013467341,,,,,,,,,,
12,2,"['IEMG', 'VAR', 'WL', 'ZC', 'SSC', 'SSC', 'WAMP']",0.908118027,0.02457838,,,,,,,,,,
13,1,"['IEMG', 'VAR', 'WL', 'ZC', 'SSC', 'SSC', 'WAMP']",0.838308458,0.028396518,,,,,,,,,,
13,2,"['IEMG', 'VAR', 'WL', 'ZC', 'SSC', 'SSC', 'WAMP']",0.768131564,0.037299907,,,,,,,,,,
14,1,"['IEMG', 'VAR', 'WL', 'ZC', 'SSC', 'SSC', 'WAMP']",0.875925926,0.021195413,,,,,,,,,,
14,2,"['IEMG', 'VAR', 'WL', 'ZC', 'SSC', 'SSC', 'WAMP']",0.685185185,0.059835165,,,,,,,,,,
15,1,"['IEMG', 'VAR', 'WL', 'ZC', 'SSC', 'SSC', 'WAMP']",0.755127142,0.030790849,,,,,,,,,,
15,2,"['IEMG', 'VAR', 'WL', 'ZC', 'SSC', 'SSC', 'WAMP']",0.755555556,0.06350529,,,,,,,,,,
16,1,"['IEMG', 'VAR', 'WL', 'ZC', 'SSC', 'SSC', 'WAMP']",0.864082366,0.018373955,,,,,,,,,,
16,2,"['IEMG', 'VAR', 'WL', 'ZC', 'SSC', 'SSC', 'WAMP']",0.850746269,0.013961408,,,,,,,,,,
17,1,"['IEMG', 'VAR', 'WL', 'ZC', 'SSC', 'SSC', 'WAMP']",0.768518519,0.025323693,,,,,,,,,,
17,2,"['IEMG', 'VAR', 'WL', 'ZC', 'SSC', 'SSC', 'WAMP']",0.682752902,0.027803329,,,,,,,,,,
18,1,"['IEMG', 'VAR', 'WL', 'ZC', 'SSC', 'SSC', 'WAMP']",0.746296296,0.032021512,,,,,,,,,,
18,2,"['IEMG', 'VAR', 'WL', 'ZC', 'SSC', 'SSC', 'WAMP']",0.790484735,0.063747601,,,,,,,,,,
19,1,"['IEMG', 'VAR', 'WL', 'ZC', 'SSC', 'SSC', 'WAMP']",0.918518519,0.005237828,,,,,,,,,,
19,2,"['IEMG', 'VAR', 'WL', 'ZC', 'SSC', 'SSC', 'WAMP']",0.861111111,0.035282516,,,,,,,,,,
1,1,"['MAV', 'WL', 'WAMP', 'MAVS']",0.846296296,0.016871173,,,,,,,,,,
1,2,"['MAV', 'WL', 'WAMP', 'MAVS']",0.892592593,0.021276158,,,,,,,,,,
2,1,"['MAV', 'WL', 'WAMP', 'MAVS']",0.769914317,0.040407825,,,,,,,,,,
2,2,"['MAV', 'WL', 'WAMP', 'MAVS']",0.814814815,0.012830006,,,,,,,,,,
3,1,"['MAV', 'WL', 'WAMP', 'MAVS']",0.851851852,0.035136418,,,,,,,,,,
3,2,"['MAV', 'WL', 'WAMP', 'MAVS']",0.762603648,0.038436501,,,,,,,,,,
4,1,"['MAV', 'WL', 'WAMP', 'MAVS']",0.901851852,0.018425693,,,,,,,,,,
4,2,"['MAV', 'WL', 'WAMP', 'MAVS']",0.840740741,0.045209465,,,,,,,,,,
5,1,"['MAV', 'WL', 'WAMP', 'MAVS']",0.930769231,0.018040061,,,,,,,,,,
5,2,"['MAV', 'WL', 'WAMP', 'MAVS']",0.931481481,0.025323693,,,,,,,,,,
6,1,"['MAV', 'WL', 'WAMP', 'MAVS']",0.790740741,0.02245251,,,,,,,,,,
6,2,"['MAV', 'WL', 'WAMP', 'MAVS']",0.772222222,0.031590226,,,,,,,,,,
7,1,"['MAV', 'WL', 'WAMP', 'MAVS']",0.77962963,0.019155705,,,,,,,,,,
7,2,"['MAV', 'WL', 'WAMP', 'MAVS']",0.857407407,0.029338851,,,,,,,,,,
8,1,"['MAV', 'WL', 'WAMP', 'MAVS']",0.896296296,0.022831163,,,,,,,,,,
8,2,"['MAV', 'WL', 'WAMP', 'MAVS']",0.761111111,0.027404905,,,,,,,,,,
9,1,"['MAV', 'WL', 'WAMP', 'MAVS']",0.879463792,0.035523678,,,,,,,,,,
9,2,"['MAV', 'WL', 'WAMP', 'MAVS']",0.793642897,0.050288376,,,,,,,,,,
10,1,"['MAV', 'WL', 'WAMP', 'MAVS']",0.892343836,0.022207968,,,,,,,,,,
10,2,"['MAV', 'WL', 'WAMP', 'MAVS']",0.879187396,0.014188045,,,,,,,,,,
11,1,"['MAV', 'WL', 'WAMP', 'MAVS']",0.85453691,0.032172353,,,,,,,,,,
11,2,"['MAV', 'WL', 'WAMP', 'MAVS']",0.829401452,0.022466785,,,,,,,,,,
12,1,"['MAV', 'WL', 'WAMP', 'MAVS']",0.801506357,0.013918793,,,,,,,,,,
12,2,"['MAV', 'WL', 'WAMP', 'MAVS']",0.890825015,0.018161801,,,,,,,,,,
13,1,"['MAV', 'WL', 'WAMP', 'MAVS']",0.815906578,0.044699317,,,,,,,,,,
13,2,"['MAV', 'WL', 'WAMP', 'MAVS']",0.768117745,0.028643604,,,,,,,,,,
14,1,"['MAV', 'WL', 'WAMP', 'MAVS']",0.862962963,0.019245009,,,,,,,,,,
14,2,"['MAV', 'WL', 'WAMP', 'MAVS']",0.707407407,0.044905021,,,,,,,,,,
15,1,"['MAV', 'WL', 'WAMP', 'MAVS']",0.747567717,0.038683515,,,,,,,,,,
15,2,"['MAV', 'WL', 'WAMP', 'MAVS']",0.75,0.064016245,,,,,,,,,,
16,1,"['MAV', 'WL', 'WAMP', 'MAVS']",0.871531233,0.017609515,,,,,,,,,,
16,2,"['MAV', 'WL', 'WAMP', 'MAVS']",0.845149254,0.021995944,,,,,,,,,,
17,1,"['MAV', 'WL', 'WAMP', 'MAVS']",0.731481481,0.024216105,,,,,,,,,,
17,2,"['MAV', 'WL', 'WAMP', 'MAVS']",0.714275843,0.033814343,,,,,,,,,,
18,1,"['MAV', 'WL', 'WAMP', 'MAVS']",0.746296296,0.024216105,,,,,,,,,,
18,2,"['MAV', 'WL', 'WAMP', 'MAVS']",0.764069264,0.032704627,,,,,,,,,,
19,1,"['MAV', 'WL', 'WAMP', 'MAVS']",0.918518519,0.010475656,,,,,,,,,,
19,2,"['MAV', 'WL', 'WAMP', 'MAVS']",0.868518519,0.028867513,,,,,,,,
1,1,"['RMS', 'LOGVAR', 'WAMP']",0.888888889,0.020286021,,,,,,,,,,
1,2,"['RMS', 'LOGVAR', 'WAMP']",0.937037037,0.006415003,,,,,,,,,,
2,1,"['RMS', 'LOGVAR', 'WAMP']",0.820038695,0.040687593,,,,,,,,,,
2,2,"['RMS', 'LOGVAR', 'WAMP']",0.822222222,0.010475656,,,,,,,,,,
3,1,"['RMS', 'LOGVAR', 'WAMP']",0.914814815,0.006415003,,,,,,,,,,
3,2,"['RMS', 'LOGVAR', 'WAMP']",0.840450525,0.021868074,,,,,,,,,,
4,1,"['RMS', 'LOGVAR', 'WAMP']",0.896296296,0.01737191,,,,,,,,,,
4,2,"['RMS', 'LOGVAR', 'WAMP']",0.859259259,0.034346735,,,,,,,,,,
5,1,"['RMS', 'LOGVAR', 'WAMP']",0.928846154,0.019134374,,,,,,,,,,
5,2,"['RMS', 'LOGVAR', 'WAMP']",0.931481481,0.018425693,,,,,,,,,,
6,1,"['RMS', 'LOGVAR', 'WAMP']",0.788888889,0.025925926,,,,,,,,,,
6,2,"['RMS', 'LOGVAR', 'WAMP']",0.777777778,0.024002743,,,,,,,,,,
7,1,"['RMS', 'LOGVAR', 'WAMP']",0.798148148,0.008072035,,,,,,,,,,
7,2,"['RMS', 'LOGVAR', 'WAMP']",0.859259259,0.011712139,,,,,,,,,,
8,1,"['RMS', 'LOGVAR', 'WAMP']",0.872222222,0.023642862,,,,,,,,,,
8,2,"['RMS', 'LOGVAR', 'WAMP']",0.812962963,0.02305537,,,,,,,,,,
9,1,"['RMS', 'LOGVAR', 'WAMP']",0.907296849,0.034835565,,,,,,,,,,
9,2,"['RMS', 'LOGVAR', 'WAMP']",0.858803206,0.047016743,,,,,,,,,,
10,1,"['RMS', 'LOGVAR', 'WAMP']",0.875704809,0.009501706,,,,,,,,,,
10,2,"['RMS', 'LOGVAR', 'WAMP']",0.890284688,0.017227038,,,,,,,,,,
11,1,"['RMS', 'LOGVAR', 'WAMP']",0.871511164,0.027512503,,,,,,,,,,
11,2,"['RMS', 'LOGVAR', 'WAMP']",0.845118725,0.014848911,,,,,,,,,,
12,1,"['RMS', 'LOGVAR', 'WAMP']",0.797775014,0.015126219,,,,,,,,,,
12,2,"['RMS', 'LOGVAR', 'WAMP']",0.869744568,0.014258323,,,,,,,,,,
13,1,"['RMS', 'LOGVAR', 'WAMP']",0.830818132,0.044927276,,,,,,,,,,
13,2,"['RMS', 'LOGVAR', 'WAMP']",0.792164179,0.041808926,,,,,,,,,,
14,1,"['RMS', 'LOGVAR', 'WAMP']",0.862962963,0.015270762,,,,,,,,,,
14,2,"['RMS', 'LOGVAR', 'WAMP']",0.711111111,0.034346735,,,,,,,,,,
15,1,"['RMS', 'LOGVAR', 'WAMP']",0.767979547,0.035004355,,,,,,,,,,
15,2,"['RMS', 'LOGVAR', 'WAMP']",0.8,0.064788354,,,,,,,,,,
16,1,"['RMS', 'LOGVAR', 'WAMP']",0.869679381,0.018384476,,,,,,,,,,
16,2,"['RMS', 'LOGVAR', 'WAMP']",0.860074627,0.013323561,,,,,,,,,,
17,1,"['RMS', 'LOGVAR', 'WAMP']",0.72962963,0.02796235,,,,,,,,,,
17,2,"['RMS', 'LOGVAR', 'WAMP']",0.732780542,0.036749792,,,,,,,,,,
18,1,"['RMS', 'LOGVAR', 'WAMP']",0.788888889,0.021276158,,,,,,,,,,
18,2,"['RMS', 'LOGVAR', 'WAMP']",0.771730463,0.021176528,,,,,,,,,,
19,1,"['RMS', 'LOGVAR', 'WAMP']",0.925925926,0.01737191,,,,,,,,,,
19,2,"['RMS', 'LOGVAR', 'WAMP']",0.866666667,0.028206567,,,,,,,,
1,1,"['RMS', 'WAMP', 'AR1']",0.881481481,0.044752022,,,,,,,,,,
1,2,"['RMS', 'WAMP', 'AR1']",0.959259259,0.016972503,,,,,,,,,,
2,1,"['RMS', 'WAMP', 'AR1']",0.838515755,0.043334302,,,,,,,,,,
2,2,"['RMS', 'WAMP', 'AR1']",0.859259259,0.020951312,,,,,,,,,,
3,1,"['RMS', 'WAMP', 'AR1']",0.925925926,0.005237828,,,,,,,,,,
3,2,"['RMS', 'WAMP', 'AR1']",0.858969044,0.015992662,,,,,,,,,,
4,1,"['RMS', 'WAMP', 'AR1']",0.905555556,0.02245251,,,,,,,,,,
4,2,"['RMS', 'WAMP', 'AR1']",0.87037037,0.038311409,,,,,,,,,,
5,1,"['RMS', 'WAMP', 'AR1']",0.948076923,0.019892462,,,,,,,,,,
5,2,"['RMS', 'WAMP', 'AR1']",0.942592593,0.025859704,,,,,,,,,,
6,1,"['RMS', 'WAMP', 'AR1']",0.883333333,0.054527525,,,,,,,,,,
6,2,"['RMS', 'WAMP', 'AR1']",0.8,0.034346735,,,,,,,,,,
7,1,"['RMS', 'WAMP', 'AR1']",0.857407407,0.019858899,,,,,,,,,,
7,2,"['RMS', 'WAMP', 'AR1']",0.885185185,0.019945055,,,,,,,,,,
8,1,"['RMS', 'WAMP', 'AR1']",0.892592593,0.031644458,,,,,,,,,,
8,2,"['RMS', 'WAMP', 'AR1']",0.872222222,0.015158061,,,,,,,,,,
9,1,"['RMS', 'WAMP', 'AR1']",0.922097844,0.029814675,,,,,,,,,,
9,2,"['RMS', 'WAMP', 'AR1']",0.908941404,0.025306669,,,,,,,,,,
10,1,"['RMS', 'WAMP', 'AR1']",0.923949696,0.00950451,,,,,,,,,,
10,2,"['RMS', 'WAMP', 'AR1']",0.908913765,0.006262957,,,,,,,,,,
11,1,"['RMS', 'WAMP', 'AR1']",0.852671451,0.046922981,,,,,,,,,,
11,2,"['RMS', 'WAMP', 'AR1']",0.823557456,0.020802166,,,,,,,,,,
12,1,"['RMS', 'WAMP', 'AR1']",0.788474295,0.028619167,,,,,,,,,,
12,2,"['RMS', 'WAMP', 'AR1']",0.911876101,0.011499464,,,,,,,,,,
13,1,"['RMS', 'WAMP', 'AR1']",0.847484798,0.034350516,,,,,,,,,,
13,2,"['RMS', 'WAMP', 'AR1']",0.799640685,0.045908028,,,,,,,,,,
14,1,"['RMS', 'WAMP', 'AR1']",0.885185185,0.019245009,,,,,,,,,,
14,2,"['RMS', 'WAMP', 'AR1']",0.762962963,0.039544734,,,,,,,,,,
15,1,"['RMS', 'WAMP', 'AR1']",0.786594804,0.041959058,,,,,,,,,,
15,2,"['RMS', 'WAMP', 'AR1']",0.787037037,0.052996622,,,,,,,,,,
16,1,"['RMS', 'WAMP', 'AR1']",0.865948038,0.015575339,,,,,,,,,,
16,2,"['RMS', 'WAMP', 'AR1']",0.848880597,0.008132274,,,,,,,,,,
17,1,"['RMS', 'WAMP', 'AR1']",0.746296296,0.035282516,,,,,,,,,,
17,2,"['RMS', 'WAMP', 'AR1']",0.738391376,0.04111063,,,,,,,,,,
18,1,"['RMS', 'WAMP', 'AR1']",0.792592593,0.018144368,,,,,,,,,,
18,2,"['RMS', 'WAMP', 'AR1']",0.809424129,0.021592208,,,,,,,,,,
19,1,"['RMS', 'WAMP', 'AR1']",0.940740741,0.018144368,,,,,,,,,,
19,2,"['RMS', 'WAMP', 'AR1']",0.896296296,0.024002743,,,,,,,,
1,1,"['LOGVAR', 'WAMP', 'AR1']",0.898148148,0.02305537,,,,,,,,,,
1,2,"['LOGVAR', 'WAMP', 'AR1']",0.955555556,0.007407407,,,,,,,,,,
2,1,"['LOGVAR', 'WAMP', 'AR1']",0.842288557,0.027966393,,,,,,,,,,
2,2,"['LOGVAR', 'WAMP', 'AR1']",0.857407407,0.010955703,,,,,,,,,,
3,1,"['LOGVAR', 'WAMP', 'AR1']",0.92962963,0.008281733,,,,,,,,,,
3,2,"['LOGVAR', 'WAMP', 'AR1']",0.870052515,0.026940506,,,,,,,,,,
4,1,"['LOGVAR', 'WAMP', 'AR1']",0.92037037,0.014224344,,,,,,,,,,
4,2,"['LOGVAR', 'WAMP', 'AR1']",0.833333333,0.030765274,,,,,,,,,,
5,1,"['LOGVAR', 'WAMP', 'AR1']",0.946153846,0.009421114,,,,,,,,,,
5,2,"['LOGVAR', 'WAMP', 'AR1']",0.942592593,0.02305537,,,,,,,,,,
6,1,"['LOGVAR', 'WAMP', 'AR1']",0.874074074,0.049413571,,,,,,,,,,
6,2,"['LOGVAR', 'WAMP', 'AR1']",0.792592593,0.027216553,,,,,,,,,,
